,chapter_number,word,count
658,2,improve,1
659,2,terrier,1
660,2,eagerly,1
661,2,roof,1
662,2,farmer,1
663,2,but,11
664,2,jaws,1
665,2,want,1
666,2,distance,1
667,2,wonder,2
668,2,thing,4
669,2,slowly,1
670,2,coming,1
671,2,speak,2
672,2,stop,1
673,2,alice,26
674,2,softly,1
675,2,seen,1
676,2,your,3
677,2,sending,1
678,2,side,1
679,2,to,57
680,2,rome,1
681,2,knew,1
682,2,swimming,2
683,2,darkness,1
684,2,many,1
685,2,make,1
686,2,water,2
687,2,sight,1
688,2,funny,1
689,2,useful,1
690,2,six,1
691,2,sorts,2
692,2,kid,3
693,2,shan,1
694,2,quite,5
695,2,curly,1
696,2,times,3
697,2,sudden,3
698,2,guess,1
699,2,white,4
700,2,vulgar,1
701,2,help,1
702,2,of,33
703,2,our,3
704,2,which,2
705,2,everything,3
706,2,these,1
707,2,she,69
708,2,dropped,2
709,2,been,4
710,2,puzzle,1
711,2,like,9
712,2,drowned,1
713,2,little,17
714,2,feet,8
715,2,try,3
716,2,ah,1
717,2,nice,2
718,2,boots,1
719,2,into,4
720,2,hear,1
721,2,tone,2
722,2,to-day,2
723,2,than,3
724,2,small,3
725,2,surprised,2
726,2,dried,1
727,2,worth,1
728,2,would,5
729,2,tired,2
730,2,violently,1
731,2,isoh,1
732,2,back,4
733,2,mousea,1
734,2,speaking,1
735,2,puzzling,1
736,2,thought,9
737,2,says,2
738,2,oh,9
739,2,knowledge,1
740,2,ready,1
741,2,mouseo,1
742,2,pool,8
743,2,we,3
744,2,youare,1
745,2,glad,1
746,2,foot,2
747,2,o,2
748,2,there,4
749,2,half,3
750,2,hands,2
751,2,her,28
752,2,all,17
753,2,something,1
754,2,ma,1
755,2,moment,3
756,2,general,1
757,2,herself,8
758,2,no,5
759,2,romeno,1
760,2,lodging,1
761,2,done,2
762,2,able,1
763,2,narrow,1
764,2,pale,1
765,2,gloves,4
766,2,a,47
767,2,then,7
768,2,lap,1
769,2,trotting,1
770,2,were,5
771,2,soothing,1
772,2,waiting,1
773,2,savage,1
774,2,doesn,3
775,2,from,1
776,2,hurry,2
777,2,dinah,1
778,2,planning,1
779,2,come,6
780,2,being,3
781,2,chapter,1
782,2,with,16
783,2,angry,1
784,2,s,16
785,2,very,7
786,2,out-of-the-way,1
787,2,again,10
788,2,grammar,1
789,2,offended,2
790,2,new,1
791,2,d,2
792,2,kills,1
793,2,hurried,1
794,2,family,1
795,2,shall,5
796,2,case,1
797,2,will,3
798,2,before,3
799,2,well,2
800,2,harm,1
801,2,this,12
802,2,queer,3
803,2,love,1
804,2,nasty,1
805,2,crocodile,1
806,2,nothing,1
807,2,walrus,1
808,2,other,2
809,2,he,6
810,2,much,3
811,2,signify,1
812,2,notion,1
813,2,filled,1
814,2,t,16
815,2,rate,2
816,2,ada,1
817,2,skurried,1
818,2,large,2
819,2,ve,4
820,2,name,1
821,2,dog,1
822,2,nine,2
823,2,duchess,2
824,2,that,26
825,2,rats,1
826,2,ran,1
827,2,they,6
828,2,glass,1
829,2,having,1
830,2,repeat,1
831,2,making,1
832,2,hate,1
833,2,great,5
834,2,night,1
835,2,made,3
836,2,through,2
837,2,hadn,1
838,2,gave,1
839,2,should,2
840,2,those,1
841,2,going,1
842,2,shrinking,2
843,2,behind,1
844,2,daresay,1
845,2,fanning,1
846,2,you,26
847,2,if,15
848,2,at,9
849,2,poor,5
850,2,eye,1
851,2,likely,1
852,2,cry,1
853,2,seem,1
854,2,get,3
855,2,ringlets,2
856,2,thirteen,1
857,2,kept,2
858,2,sentence,1
859,2,muttering,1
860,2,shining,1
861,2,animals,1
862,2,m,13
863,2,heads,2
864,2,seems,1
865,2,golden,3
866,2,such,9
867,2,hall,3
868,2,cause,1
869,2,hard,2
870,2,are,3
871,2,birds,1
872,2,nearly,1
873,2,dear,10
874,2,once,2
875,2,wept,1
876,2,what,3
877,2,feelings,1
878,2,one,8
879,2,bad,1
880,2,it,38
881,2,came,3
882,2,things,6
883,2,fancy,1
884,2,talking,3
885,2,altogether,1
886,2,don,3
887,2,catching,1
888,2,hippopotamus,1
889,2,conclusion,1
890,2,door,3
891,2,only,3
892,2,speed,1
893,2,poky,1
